February 22, 2016	February 15, 2016	February 8, 2016	February 1, 2016	January 25, 2016	January 18, 2016	January 11, 2016	January 4, 2016	December 28, 2015	December 21, 2015	December 14, 2015	December 7, 2015	November 30, 2015	November 23, 2015	November 16, 2015	November 9, 2015	November 2, 2015	October 26, 2015	October 19, 2015	October 12, 2015	October 5, 2015	September 28, 2015	September 21, 2015	September 14, 2015	September 7, 2015	August 31, 2015	August 24, 2015	August 17, 2015	August 10, 2015	August 3, 2015	July 27, 2015	July 20, 2015	July 13, 2015	July 6, 2015	June 29, 2015	June 22, 2015	June 15, 2015	June 8, 2015	June 1, 2015	May 25, 2015	May 18, 2015	May 11, 2015	May 4, 2015	April 27, 2015	April 20, 2015	April 13, 2015	April 6, 2015	March 30, 2015	March 23, 2015	March 16, 2015	March 9, 2015	March 2, 2015	February 23, 2015	February 16, 2015	February 9, 2015	February 2, 2015
Sir Reginald	179,146	119,579	269,247	6,725,284	6,546,138	6,390,293	6,176,859	5,975,393	5,796,776	5,659,815	5,476,414	5,207,167	5,085,082	4,931,679	4,805,323	4,718,199	4,630,323	4,560,382	4,474,437	4,407,359	4,313,961	4,230,657	4,141,267	4,053,953	3,981,670	3,877,685	3,816,922	3,755,192	3,693,675	3,593,702	3,517,908	3,400,422	3,258,577	3,139,068	3,003,917	2,889,298	2,781,250	2,652,506	2,540,652	2,427,923	2,343,024	2,271,409	2,174,276	2,039,817	1,903,675	1,742,728	1,583,381												
Solo Espero	126,278	95,274	186,957	6,010,404	5,884,126	5,750,588	5,678,809	5,550,856	5,439,889	5,381,333	5,247,215	5,095,030	4,995,703	4,916,783	4,850,751	4,829,822	4,779,614	4,723,712	4,648,374	4,629,927	4,573,938	4,543,946	4,438,198	4,358,418	4,356,437	4,336,172	4,274,554	4,182,596	4,018,775	3,856,422	3,731,159	3,670,805	3,495,195	3,377,130	3,239,850	3,083,156	2,928,179	2,757,131	2,570,174	2,440,456	2,332,213	2,232,331	2,123,051	2,010,612	1,906,112	1,805,602	1,721,079	1,599,325	1,528,682	1,472,816	1,440,421	1,396,038	1,337,506	1,284,407	1,236,220	1,185,670	1,119,424	1,025,645	960,861
jhart7509	119,684	75,996	191,486	4,409,986	4,290,302	4,140,910	4,017,478	3,869,426	3,701,760	3,577,607	3,418,906	3,227,420	3,096,660	3,007,057	2,879,379	2,799,448	2,711,812	2,623,218	2,556,102	2,490,880	2,411,841	2,346,910	2,302,778	2,249,958	2,208,478	2,146,496	2,085,016	2,071,737	2,024,648	1,990,104	1,962,930	1,904,836	1,855,584	1,796,870	1,744,477	1,704,611	1,667,758	1,615,219	1,560,882	1,527,324	1,463,294	1,419,353	1,372,806	1,322,322	1,294,161														
Russell C110	72,707	34,990	120,755	2,407,613	2,334,906	2,240,642	2,186,434	2,123,646	2,002,891	1,952,814	1,902,076	1,863,322	1,832,330	1,813,151	1,774,077	1,766,309	1,766,048	1,744,525	1,723,065	1,687,706	1,632,674	1,596,668	1,534,377	1,506,866	1,481,892	1,466,004	1,451,018	1,438,990	1,412,356	1,398,050	1,373,100	1,347,272	1,330,065	1,283,565	1,248,584	1,212,441	1,164,586	1,131,979	1,101,322	1,084,674	1,074,425	1,054,007	1,043,013																
salz	42,897	34,622	98,549	1,281,060	1,238,163	1,184,992	1,126,344	1,043,206	944,657	872,184	848,956	818,556	749,328	707,551	681,433	640,638	619,968	590,292	577,009	532,996	451,418	428,123	394,344	356,446	344,829	313,403	275,838	211,313	186,237	167,430	150,680	128,123	106,711	83,793	54,517	17,783	2,443	141	121	51	51																		
CAP$	41,534	58,894	98,625	4,057,391	4,015,857	3,975,409	3,910,156	3,859,432	3,809,513	3,765,915	3,699,561	3,639,665	3,601,103	3,516,060	3,454,535	3,389,648	3,366,322	3,267,928	3,186,675	3,129,846	3,058,993	3,011,828	2,944,835	2,876,173	2,803,782	2,736,239	2,680,552	2,621,513	2,584,515	2,553,277	2,506,979	2,408,354																											
nathan	30,952	30,952	30,952	1,000,468	969,516																																																						
TheySeeMeRollin	30,227	29,879	49,347	843,797	813,570	764,223	740,100	711,514	690,308	658,042	610,243	579,063	554,429	520,822	486,056	477,697	443,087	399,163	366,973	333,228	309,166	285,138	276,104																																				
Amazingly Randy	26,983	24,743	53,685	1,366,700	1,339,717	1,292,035	1,264,968	1,228,203	1,186,009	1,132,924	1,106,666	1,082,142	1,028,457	1,001,107	986,880	965,045	940,553	914,973	893,376	860,815	827,426	799,378	772,737	725,877	695,881	655,218	628,672	591,393	574,226	547,762	520,421	502,967	481,125	468,110	453,683	433,571	425,012	412,251	397,886	383,056	356,659	332,471	290,016	267,208	246,918	229,420	212,505	205,218	205,211	198,850	189,147	179,048							
Campbell	26,193	19,947	87,587	1,122,879	1,096,686	1,064,920	982,125	924,645	890,999	831,302	778,946	742,712	736,036	648,449	602,369	583,612	572,687	564,249	553,456	547,139	542,263	519,168	515,338	511,240	509,522	508,049	505,278	496,399	482,009	465,599	442,938	428,505	422,929	392,916	369,076	350,359	320,029	300,203	285,431	265,730	251,027	237,123	208,811	189,838	181,159	176,960	167,159	156,964	140,229	125,036	117,575	109,641	100,880	94,553	92,619	76,092	70,927	67,908	65,673
