December 28, 2015	December 21, 2015	December 14, 2015	December 7, 2015	November 30, 2015	November 23, 2015	November 16, 2015	November 9, 2015	November 2, 2015	October 26, 2015	October 19, 2015	October 12, 2015	October 5, 2015	September 28, 2015	September 21, 2015	September 14, 2015	September 7, 2015	August 31, 2015	August 24, 2015	August 17, 2015	August 10, 2015	August 3, 2015	July 27, 2015	July 20, 2015	July 13, 2015	July 6, 2015	June 29, 2015	June 22, 2015	June 15, 2015	June 8, 2015	June 1, 2015	May 25, 2015	May 18, 2015	May 11, 2015	May 4, 2015	April 27, 2015	April 20, 2015	April 13, 2015	April 6, 2015	March 30, 2015	March 23, 2015	March 16, 2015	March 9, 2015	March 2, 2015	February 23, 2015	February 16, 2015	February 9, 2015	February 2, 2015
jhart7509	21,192,524	10,317,569	23,119,979	1,008,945,616	987,753,092	967,724,907	944,604,928	933,086,141	916,066,952	899,788,795	887,330,837	875,797,671	861,827,190	851,748,166	843,529,193	834,781,508	827,969,978	818,452,473	807,400,018	805,381,251	797,700,728	791,597,588	787,519,783	779,517,315	769,850,922	760,242,939	750,260,721	743,075,685	737,226,817	728,170,143	720,435,885	711,222,616	700,819,783	691,434,605	683,380,846	673,700,451	668,465,828														
Sir Reginald	13,689,618	12,643,374	22,147,162	986,803,210	973,113,592	958,055,729	940,705,734	930,529,069	920,402,124	912,615,956	903,633,919	896,696,090	883,934,928	874,656,243	863,502,638	853,802,106	843,184,778	828,437,834	817,541,272	809,199,589	800,175,895	788,833,893	779,847,855	768,188,833	751,172,147	736,821,192	722,588,380	708,405,743	695,223,563	682,075,004	670,333,317	655,745,384	645,112,369	636,019,941	623,840,288	606,054,129	588,399,598	566,252,436	544,285,125												
Amazingly Randy	11,876,496	6,196,554	14,250,641	411,134,907	399,258,411	393,680,994	389,441,135	382,215,148	375,048,202	367,462,931	359,941,435	352,442,145	340,376,345	330,385,770	321,161,811	306,911,170	298,491,922	288,975,852	280,539,465	273,352,120	270,002,880	264,269,619	258,442,194	253,867,142	249,120,696	245,538,674	242,192,498	237,362,711	234,281,170	231,668,736	226,796,224	221,782,373	214,993,014	209,430,741	197,080,686	191,707,623	186,524,408	182,098,097	177,400,747	174,619,400	174,135,044	170,997,904	167,240,146	163,272,730							
salz	8,458,747	9,652,764	16,022,736	291,355,226	282,896,479	274,805,145	266,430,531	250,826,963	241,760,100	232,418,667	226,319,931	214,889,301	198,991,363	188,444,387	178,170,173	164,964,007	160,496,354	148,498,076	137,607,437	124,964,245	114,334,926	98,312,190	86,622,360	77,079,323	67,458,303	54,359,098	44,142,097	31,882,990	22,896,774	18,939,021	17,639,821	14,586,446	11,425,070																		
Russell C110	8,224,426	10,416,993	22,058,158	750,635,918	742,411,492	736,899,434	724,959,069	723,163,702	723,146,381	716,605,780	707,674,974	693,352,331	671,294,173	659,428,466	638,781,444	629,392,464	618,795,776	609,062,451	602,176,408	594,087,990	579,627,814	574,961,959	566,147,955	554,256,293	543,251,895	523,596,545	509,519,054	493,979,692	474,625,948	460,942,158	446,936,833	439,836,002	435,491,821	430,292,311	427,709,136																
Solo Espero	7,471,155	13,805,794	27,637,057	1,135,227,484	1,127,756,329	1,118,921,452	1,106,054,864	1,101,298,751	1,091,122,419	1,076,436,085	1,061,494,320	1,055,647,597	1,043,020,843	1,033,549,843	1,007,720,107	987,830,150	987,124,083	979,987,649	960,484,336	942,336,530	925,185,054	905,581,811	888,807,424	880,831,315	853,194,258	837,018,368	817,205,995	792,481,205	770,146,713	743,583,791	721,693,972	702,199,175	687,065,810	676,782,606	663,733,590	651,356,987	638,851,043	627,560,213	617,747,698	606,726,641	602,538,468	595,830,754	593,065,417	587,679,042	576,996,375	567,756,717	560,629,416	554,363,365	542,153,580	530,035,133	513,966,745
Chan	6,169,289	4,229,004	7,978,472	208,776,322	202,607,033	198,276,941	194,852,095	192,481,926	187,879,999	183,356,306	178,352,121	174,367,589	167,653,003	164,107,988	159,627,585	158,898,925	156,464,952	154,793,360	153,662,737	152,342,792	151,406,903	150,459,106	149,245,509	147,761,399	143,203,945	138,277,294	133,861,919	129,642,964	126,786,008	124,394,257	121,393,017	117,430,795	111,503,611	104,870,450	101,184,869	96,537,621	89,690,619	82,805,200	78,762,133	73,876,771	70,852,919	65,437,325	57,712,017	53,750,785	49,350,941	45,043,888	37,065,416	31,775,080	27,198,239	23,014,886	18,471,149
Cpt Krunch	5,280,607	6,391,581	17,496,476	572,693,204	567,412,597	566,656,999	562,537,211	558,846,348	552,578,262	547,899,152	543,133,519	540,996,246	538,578,622	536,829,740	535,796,523	532,463,159	530,751,728	529,675,954	527,338,350	526,290,660	525,028,812	524,661,631	523,359,309	518,683,288	511,317,232	504,265,355	498,810,915	490,055,561	484,406,374	479,413,962	472,885,715	467,148,131	459,210,340	449,860,072	443,904,652	433,852,219	425,122,771	417,893,790	407,766,192	392,336,607	383,788,518	372,293,810	361,456,484	356,228,522	346,158,737	335,872,991	327,016,896	309,520,420	298,278,052	285,072,047	
Ali Baba	5,245,724	4,305,276	5,245,724	170,578,786	165,333,062	161,968,234																																													
CAP$	4,686,091	6,395,823	16,098,696	784,265,559	779,579,468	770,692,997	763,704,643	758,885,202	756,239,750	748,619,494	740,782,151	734,484,723	728,758,198	722,896,756	715,471,705	708,006,807	700,662,277	695,922,604	691,581,812	684,432,508	680,676,207	677,934,881	672,447,790	656,349,094																											
Davinsky	3,078,914	3,591,412	6,234,840	61,093,829	58,014,915	56,827,779	54,686,431	52,648,450	46,413,610	43,247,511	37,291,714	33,062,510	27,913,197	25,180,874	23,603,865	17,996,889																																			
Aidsy	2,993,269	5,441,827	15,227,417	589,784,098	586,790,829	582,757,634	580,659,277	576,319,291	571,693,888	569,902,370	568,842,015	567,229,446	563,823,818	561,462,828	556,807,915	552,801,855	543,757,221	540,596,196	539,737,521	536,553,309	535,276,290	532,511,903	530,441,592	521,945,239	508,958,444	498,110,260	487,029,100	471,801,683	459,938,401	447,278,167	440,400,711	436,164,889	431,971,127																		
TheySeeMeRollin	2,939,975	7,363,000	11,416,133	229,503,460	226,563,485	223,225,725	213,749,442	209,142,922	200,242,229	192,058,034	181,672,033	170,255,900	160,514,566	152,174,899	148,510,458																																				
KT	2,489,607	1,842,778	4,241,641	70,413,502	67,923,895	66,299,895	65,156,671	63,861,534	62,497,871	61,282,503	60,358,044	58,115,304	56,189,767	54,354,754	51,166,070	48,009,007	45,479,675	41,864,780	40,238,278	39,379,702	38,423,449	34,181,808	32,167,743	31,871,247	30,974,499	30,652,679	28,332,464	26,534,192	26,070,944	24,598,742	23,904,731	23,004,971	20,431,666	16,609,269	14,181,115	13,625,311	11,663,788	9,435,236	7,799,217	5,410,921	2,035,163	387,933									
Vafn	2,080,887	1,494,968	4,200,883	29,510,705	27,429,818	26,276,360	25,028,136	24,730,188	24,730,188	24,473,520	23,696,180	21,653,925	18,229,085	15,203,158	12,274,625	8,073,742	6,751,163	5,435,227	4,506,187	4,140,636	4,096,248																														
targus	1,726,073	2,558,091	3,792,092	32,293,474	30,567,401	27,977,125	24,185,033	21,745,389	18,111,892	15,883,475	13,511,319	11,524,031	8,805,922	5,312,515	3,514,888	1,596,377																																			
Impekkable	1,639,965	524,028	1,639,965	12,799,429	11,159,464	10,887,899	10,703,680	10,258,481	9,473,703	8,976,883	7,601,605	7,237,969	6,882,075	6,663,312	6,434,050	6,239,321	5,876,216	5,463,036																																	
Campbell	1,463,072	4,304,567	11,867,006	305,068,556	303,605,484	298,424,417	291,694,959	288,339,317	284,651,689	281,766,605	278,607,038	274,477,215	272,998,921	265,709,925	265,289,644	263,066,253	260,953,284	260,124,024	258,549,014	253,853,622	247,953,163	245,259,934	235,713,631	232,960,083	230,072,379	221,775,390	218,805,035	207,460,024	204,312,574	200,957,863	197,937,554	195,414,064	194,132,789	188,562,906	176,695,900	170,516,524	169,510,359	168,988,923	164,415,354	163,562,528	161,845,114	156,718,620	148,187,118	145,862,880	143,419,140	140,949,835	137,550,176	132,723,833	126,875,357	116,767,427	111,363,041
fvbk	1,280,028	522,461	2,086,909	22,295,504	21,015,476	20,987,732	20,987,732	20,987,732	20,868,472	20,868,472	20,727,373	20,525,990	20,323,101	19,940,841	19,817,168	19,466,488	19,393,238	18,572,613	18,572,613	18,358,436	17,048,232	16,603,178	16,242,850	15,620,899	15,023,090	13,192,739	11,105,830	9,658,382	8,788,756	8,198,975	7,879,591	7,666,315	7,379,335	6,621,674																	
moonlyfe	1,187,119	4,686,792	10,531,836	257,863,550	256,676,431	253,014,993	251,808,550	250,277,591	248,910,297	244,478,513	242,908,387	240,306,324	239,892,098	238,877,724	233,719,273	227,647,330	223,818,172	222,408,331	218,895,020	214,088,902	211,743,082	207,446,809	201,980,866	200,103,916	197,386,302	192,724,706	189,532,345	187,131,044	183,680,889	181,035,644	175,858,763	172,408,876	168,755,857	162,065,018	151,655,454	146,178,065	136,000,816	125,468,980	119,353,854	113,345,705	108,264,611	100,305,867	94,442,472	87,731,674	81,386,345	74,840,760	68,753,272	62,220,449	55,876,450	50,594,560	46,957,890
mikesaiks	1,147,205	2,372,295	10,352,096	140,684,813	139,537,608	139,331,827	138,612,900	138,413,799	138,047,022	138,047,022	138,047,022	137,729,852	136,956,235	136,672,892	135,335,340	133,156,214	132,905,246	132,077,088	129,177,313	126,028,504	124,780,021	121,961,958	120,457,353	118,751,395	114,505,373	104,817,908	101,466,174	91,114,078	85,031,942	79,208,830	72,327,765	70,557,888	68,799,421	67,599,984	65,658,065	63,709,349	61,746,320	60,303,835	58,455,207	53,820,865	53,177,531	50,537,346	46,390,784	44,826,463	42,419,707	40,391,716	39,383,081	39,005,851	38,018,860	36,587,211	33,931,520
