February 15, 2016	February 8, 2016	February 1, 2016	January 25, 2016	January 18, 2016	January 11, 2016	January 4, 2016	December 28, 2015	December 21, 2015	December 14, 2015	December 7, 2015	November 30, 2015	November 23, 2015	November 16, 2015	November 9, 2015	November 2, 2015	October 26, 2015	October 19, 2015	October 12, 2015	October 5, 2015	September 28, 2015	September 21, 2015	September 14, 2015	September 7, 2015	August 31, 2015	August 24, 2015	August 17, 2015	August 10, 2015	August 3, 2015	July 27, 2015	July 20, 2015	July 13, 2015	July 6, 2015	June 29, 2015	June 22, 2015	June 15, 2015	June 8, 2015	June 1, 2015	May 25, 2015	May 18, 2015	May 11, 2015	May 4, 2015	April 27, 2015	April 20, 2015	April 13, 2015	April 6, 2015	March 30, 2015	March 23, 2015	March 16, 2015	March 9, 2015	March 2, 2015	February 23, 2015	February 16, 2015	February 9, 2015	February 2, 2015	January 26, 2015	January 19, 2015	January 12, 2015	January 5, 2015	December 29, 2014
jhart7509	22,489,190	13,553,701	35,666,095	1,196,994,944	1,174,505,754	1,153,616,324	1,128,923,265	1,098,921,950	1,073,088,277	1,040,774,947	1,005,108,852	982,092,177	960,760,578	938,222,831	926,395,237	908,659,549	892,045,384	879,086,997	866,087,835	851,049,665	840,628,092	832,045,084	823,506,197	817,376,649	808,577,632	798,717,864	796,237,797	787,930,010	781,693,386	776,679,367	767,855,108	757,700,975	747,571,891	737,423,208	730,239,536	723,463,535	713,572,348	705,257,637	696,148,766	685,647,355	677,315,711	669,812,080	660,469,879	654,846,895																			
Russell C110	21,285,845	10,695,171	24,368,835	813,716,563	792,430,718	779,830,055	765,866,780	741,497,945	730,777,646	720,929,809	712,779,688	705,070,932	700,824,912	690,303,116	688,691,038	688,658,468	683,128,149	675,525,201	662,257,498	640,895,868	629,357,387	610,316,256	601,189,134	590,930,027	580,969,131	574,042,760	566,219,922	551,967,576	547,630,315	539,153,347	527,965,357	516,768,091	496,929,749	483,275,919	468,871,011	450,064,685	436,539,967	423,476,872	416,859,278	413,204,238	409,232,596	407,300,079																					
salz	14,148,737	10,667,002	19,836,007	397,061,679	382,912,942	368,352,863	350,629,404	330,793,397	315,889,601	309,635,304	307,377,487	303,095,850	296,704,179	288,361,825	270,421,698	257,738,779	243,920,469	236,330,633	224,155,559	209,796,439	198,591,275	187,128,109	172,204,867	167,864,300	155,620,088	145,620,612	132,245,897	119,240,626	99,448,875	90,694,680	79,987,430	68,007,250	54,118,773	44,706,980	34,363,446	26,188,148	21,993,728	19,818,146	15,807,138	13,049,597																							
TheySeeMeRollin	13,038,287	7,940,414	16,145,841	297,025,770	283,987,483	279,301,162	273,827,135	266,929,633	259,385,365	252,803,097	246,363,616	244,359,358	241,976,781	225,830,940	219,422,706	209,055,792	201,829,666	188,761,538	175,797,785	165,764,715	157,084,868	154,098,317																																									
Sir Reginald	11,533,826	11,289,359	23,384,754	968,718,241	957,184,415	941,219,410	924,751,164	909,663,681	899,307,653	884,568,351	861,183,597	850,968,496	837,841,271	822,626,974	812,915,517	804,886,353	799,061,028	791,966,206	784,664,268	774,667,095	767,074,473	756,491,615	747,484,833	738,820,482	728,368,424	718,196,539	710,087,621	703,668,620	693,489,407	686,190,961	674,921,800	660,317,108	647,394,142	634,695,684	622,678,898	612,268,937	600,815,290	592,369,797	581,250,228	571,223,740	564,626,183	554,097,972	540,749,277	528,245,058	510,087,169	494,565,184																	
Solo Espero	10,368,004	11,892,604	25,514,419	1,129,093,121	1,118,725,117	1,110,781,554	1,093,984,301	1,078,767,549	1,070,507,461	1,057,849,526	1,048,146,663	1,041,973,772	1,033,330,388	1,021,229,102	1,016,137,466	1,006,440,578	992,169,706	977,878,212	972,194,370	960,084,783	951,316,452	925,802,033	907,380,190	906,692,728	899,486,467	879,875,225	863,376,711	850,041,465	833,882,817	819,975,371	815,059,722	791,007,063	776,365,611	758,514,329	735,737,592	715,240,465	692,623,850	675,447,763	659,095,121	645,870,039	637,553,635	626,906,327	616,390,013	606,378,399	597,487,299	589,990,424	581,297,941	577,569,777	571,638,941	568,338,533	563,854,013	554,368,870	547,301,981	541,352,106	536,530,642	526,455,874	516,601,350	501,863,864	490,171,486	477,548,571	468,152,681	459,119,248	451,214,716
mikesaiks	9,532,916	2,665,013	12,829,996	182,087,364	172,554,448	166,124,515	163,144,866	160,469,776	160,203,790	160,203,790	159,716,019	157,592,588	156,957,864	155,606,574	155,352,378	154,605,845	154,605,845	154,605,845	154,040,405	153,315,411	153,022,441	152,138,690	149,602,509	149,283,728	148,376,069	145,274,083	142,378,279	140,784,764	137,786,165	135,260,709	134,081,990	128,379,522	116,079,466	112,375,331	99,545,335	92,822,653	86,752,015	80,854,039	79,334,036	77,742,735	77,028,638	75,087,447	73,432,729	71,566,766	70,388,727	68,438,995	63,495,819	62,767,851	59,917,595	55,417,542	53,601,526	50,447,171	48,142,296	47,294,751	46,674,455	45,678,188	44,091,922	41,651,217	37,022,211	32,824,730	30,181,599		
Amazingly Randy	8,301,984	5,721,635	12,720,540	429,233,497	420,931,513	416,734,581	411,097,759	403,936,394	397,322,670	391,911,695	387,217,567	377,970,215	373,567,319	369,426,736	361,451,852	355,642,781	349,720,712	343,033,827	336,301,136	325,475,586	316,862,765	309,312,845	296,592,305	288,961,763	279,989,160	272,160,734	265,318,080	262,126,696	257,856,504	250,914,093	246,196,737	241,586,379	236,990,724	233,278,291	227,786,968	224,953,250	221,975,389	217,059,182	212,117,524	206,327,310	201,264,173	190,631,060	186,114,750	180,769,692	176,564,151	173,232,142	170,663,435	170,173,486	167,246,728	163,887,144	160,316,648												
Cpt Krunch	8,257,634	5,697,785	17,113,466	558,894,030	550,636,396	546,799,265	543,190,195	539,261,594	531,346,570	529,472,886	526,077,228	521,322,627	520,882,150	517,542,747	514,988,554	510,506,834	506,228,126	501,583,256	499,132,152	496,789,826	495,496,011	494,758,421	492,574,302	491,389,654	490,699,666	488,432,131	487,241,587	485,956,018	485,811,097	484,437,425	480,160,066	473,110,492	466,552,348	461,941,032	453,233,943	446,171,389	441,286,421	434,446,325	428,472,457	421,038,347	411,541,874	405,339,602	394,630,355	385,654,530	378,298,773	367,650,264	350,536,798	341,497,261	330,364,021	321,750,385	318,252,887	309,591,042	300,105,646	292,615,105	276,369,093	268,300,001	256,911,428						
Vafn	5,832,022	2,410,709	7,046,498	62,263,301	56,431,279	51,417,954	44,371,456	38,413,102	34,724,565	33,318,734	31,991,218	29,147,579	28,101,550	26,561,754	26,433,863	26,433,863	26,119,642	25,229,747	23,199,137	19,049,508	15,855,349	13,258,814	9,038,976	7,646,208	6,083,198	4,752,519	4,451,461	4,406,295																																			
Mr TH7	5,610,056	2,429,299	5,610,056	90,727,416	85,117,360	81,590,651	79,848,335	79,662,585	78,096,031	76,151,623																																																					
